Date,Price,Open,High,Low,Vol.,Change %
3/01/2024,4.0113,3.847,4.164,3.818,1.38M,4.27%
2/01/2024,3.847,3.8975,3.909,3.6755,129.17K,-1.79%
1/01/2024,3.917,3.8955,3.9535,3.7145,1.70M,0.68%
12/01/2023,3.8905,3.8475,3.967,3.725,125.75K,1.04%
11/01/2023,3.8505,3.6485,3.8638,3.5808,76.39K,5.52%
10/01/2023,3.649,3.754,3.7615,3.5195,1.62M,-2.37%
9/01/2023,3.7375,3.833,3.9085,3.624,1.27M,-2.21%
8/01/2023,3.822,4.025,4.0345,3.673,61.76K,-4.64%
7/01/2023,4.008,3.7655,4.017,3.7225,1.41M,6.61%
6/01/2023,3.7595,3.682,3.964,3.66,745.08K,3.37%
5/01/2023,3.637,3.8815,4.0047,3.5452,0.66K,-6.29%
4/01/2023,3.8812,4.0842,4.194,3.817,81.38K,-5.21%
3/01/2023,4.0945,4.0745,4.1745,3.822,1.75M,0.50%
2/01/2023,4.074,4.218,4.2367,3.9375,68.60K,-3.60%
1/01/2023,4.226,3.8355,4.355,3.7085,1.47M,10.90%
12/01/2022,3.8105,3.782,3.9415,3.723,1.00M,1.94%
11/01/2022,3.738,3.415,3.9495,3.374,140.36K,10.76%
10/01/2022,3.375,3.3965,3.593,3.303,1.45M,-1.10%
9/01/2022,3.4125,3.5025,3.695,3.259,166.81K,-3.03%
8/01/2022,3.519,3.553,3.7825,3.442,5.84K,-1.57%
7/01/2022,3.575,3.678,3.7025,3.1315,1.24M,-3.64%
6/01/2022,3.71,4.275,4.579,3.6545,115.15K,-13.70%
5/01/2022,4.299,4.393,4.44,4.037,974.61K,-2.48%
4/01/2022,4.4085,4.717,4.8425,4.3715,110.08K,-7.23%
3/01/2022,4.752,4.506,5.0395,4.4685,1.17M,6.68%
2/01/2022,4.4545,4.33,4.699,4.3275,124.59K,2.96%
1/01/2022,4.3265,4.4585,4.601,4.287,1.14M,-3.07%
12/01/2021,4.4635,4.3155,4.49,4.117,76.48K,4.28%
11/01/2021,4.2805,4.379,4.5015,4.1975,10.23K,-1.80%
10/01/2021,4.359,4.1065,4.823,4.0585,1.28M,6.60%
9/01/2021,4.089,4.3615,4.4675,4.0205,125.51K,-6.43%
8/01/2021,4.37,4.4785,4.5,3.9675,10.89K,-2.14%
7/01/2021,4.4655,4.289,4.6275,4.1665,1.42M,4.12%
6/01/2021,4.289,4.6925,4.697,4.1125,149.77K,-8.37%
5/01/2021,4.681,4.462,4.888,4.435,1.71M,4.77%
4/01/2021,4.468,3.99,4.551,3.95,180.35K,11.70%
3/01/2021,4,4.106,4.2275,3.849,1.87M,-2.26%
2/01/2021,4.0925,3.547,4.3755,3.51,352.97K,15.02%
