Date,PIORECRUSDM
01/01/1990,14.05
02/01/1990,14.05
03/01/1990,14.05
04/01/1990,14.05
05/01/1990,14.05
06/01/1990,14.05
07/01/1990,14.05
08/01/1990,14.05
09/01/1990,14.05
10/01/1990,14.05
11/01/1990,14.05
12/01/1990,14.05
01/01/1991,15.03
02/01/1991,15.03
03/01/1991,15.03
04/01/1991,15.03
05/01/1991,15.03
06/01/1991,15.03
07/01/1991,15.03
08/01/1991,15.03
09/01/1991,15.03
10/01/1991,15.03
11/01/1991,15.03
12/01/1991,15.03
01/01/1992,14.31
02/01/1992,14.31
03/01/1992,14.31
04/01/1992,14.31
05/01/1992,14.31
06/01/1992,14.31
07/01/1992,14.31
08/01/1992,14.31
09/01/1992,14.31
10/01/1992,14.31
11/01/1992,14.31
12/01/1992,14.31
01/01/1993,12.58
02/01/1993,12.58
03/01/1993,12.58
04/01/1993,12.58
05/01/1993,12.58
06/01/1993,12.58
07/01/1993,12.58
08/01/1993,12.58
09/01/1993,12.58
10/01/1993,12.58
11/01/1993,12.58
12/01/1993,12.58
01/01/1994,11.45
02/01/1994,11.45
03/01/1994,11.45
04/01/1994,11.45
05/01/1994,11.45
06/01/1994,11.45
07/01/1994,11.45
08/01/1994,11.45
09/01/1994,11.45
10/01/1994,11.45
11/01/1994,11.45
12/01/1994,11.45
01/01/1995,12.27
02/01/1995,12.27
03/01/1995,12.27
04/01/1995,12.27
05/01/1995,12.27
06/01/1995,12.27
07/01/1995,12.27
08/01/1995,12.27
09/01/1995,12.27
10/01/1995,12.27
11/01/1995,12.27
12/01/1995,12.27
01/01/1996,12.97
02/01/1996,12.97
03/01/1996,12.97
04/01/1996,12.97
05/01/1996,12.97
06/01/1996,12.97
07/01/1996,12.97
08/01/1996,12.97
09/01/1996,12.97
10/01/1996,12.97
11/01/1996,12.97
12/01/1996,12.97
01/01/1997,13.04
02/01/1997,13.04
03/01/1997,13.04
04/01/1997,13.04
05/01/1997,13.04
06/01/1997,13.04
07/01/1997,13.04
08/01/1997,13.04
09/01/1997,13.04
10/01/1997,13.04
11/01/1997,13.04
12/01/1997,13.04
01/01/1998,13.41
02/01/1998,13.41
03/01/1998,13.41
04/01/1998,13.41
05/01/1998,13.41
06/01/1998,13.41
07/01/1998,13.41
08/01/1998,13.41
09/01/1998,13.41
10/01/1998,13.41
11/01/1998,13.41
12/01/1998,13.41
01/01/1999,11.93
02/01/1999,11.93
03/01/1999,11.93
04/01/1999,11.93
05/01/1999,11.93
06/01/1999,11.93
07/01/1999,11.93
08/01/1999,11.93
09/01/1999,11.93
10/01/1999,11.93
11/01/1999,11.93
12/01/1999,11.93
01/01/2000,12.45
02/01/2000,12.45
03/01/2000,12.45
04/01/2000,12.45
05/01/2000,12.45
06/01/2000,12.45
07/01/2000,12.45
08/01/2000,12.45
09/01/2000,12.45
10/01/2000,12.45
11/01/2000,12.45
12/01/2000,12.45
01/01/2001,12.99
02/01/2001,12.99
03/01/2001,12.99
04/01/2001,12.99
05/01/2001,12.99
06/01/2001,12.99
07/01/2001,12.99
