"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","7.2180","7.1934","7.2304","7.1716","","0.42%"
"02/01/2024","7.1877","7.1789","7.1995","7.1763","","0.28%"
"01/01/2024","7.1673","7.1087","7.1976","7.1085","","0.98%"
"12/01/2023","7.0978","7.1350","7.1883","7.0880","","-0.54%"
"11/01/2023","7.1360","7.3158","7.3198","7.1184","","-2.46%"
"10/01/2023","7.3158","7.3019","7.3196","7.2758","","0.20%"
"09/01/2023","7.3010","7.2449","7.3504","7.2448","","0.59%"
"08/01/2023","7.2582","7.1592","7.3173","7.1533","","1.62%"
"07/01/2023","7.1426","7.2320","7.2558","7.1195","","-1.50%"
"06/01/2023","7.2513","7.1043","7.2689","7.0560","","1.97%"
"05/01/2023","7.1109","6.8950","7.1128","6.8924","","2.89%"
"04/01/2023","6.9110","6.8788","6.9338","6.8321","","0.63%"
"03/01/2023","6.8676","6.9289","6.9773","6.8166","","-0.94%"
"02/01/2023","6.9325","6.7453","6.9732","6.7066","","2.64%"
"01/01/2023","6.7540","6.9142","6.9240","6.6910","","-2.08%"
"12/01/2022","6.8972","7.0450","7.0907","6.8931","","-2.69%"
"11/01/2022","7.0879","7.3231","7.3285","7.0248","","-2.93%"
"10/01/2022","7.3015","7.1102","7.3094","7.1082","","2.64%"
"09/01/2022","7.1135","6.9065","7.2506","6.8934","","3.26%"
"08/01/2022","6.8890","6.7474","6.9225","6.7230","","2.16%"
"07/01/2022","6.7433","6.6940","6.7715","6.6840","","0.67%"
"06/01/2022","6.6981","6.6676","6.7617","6.6376","","0.40%"
"05/01/2022","6.6715","6.5908","6.8127","6.5908","","0.96%"
"04/01/2022","6.6080","6.3430","6.6515","6.3422","","4.24%"
"03/01/2022","6.3393","6.3071","6.3868","6.3068","","0.49%"
"02/01/2022","6.3084","6.3569","6.3720","6.3046","","-0.82%"
"01/01/2022","6.3605","6.3719","6.3859","6.3186","","0.13%"
"12/01/2021","6.3521","6.3681","6.3850","6.3384","","-0.19%"
"11/01/2021","6.3640","6.4060","6.4098","6.3625","","-0.64%"
"10/01/2021","6.4050","6.4493","6.4594","6.3777","","-0.62%"
"09/01/2021","6.4452","6.4618","6.4760","6.4291","","-0.24%"
