"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
2024,"(1.0, 0.0)",0.5247,0.529,0.7232,0.5522
2024,"(0.866, 0.5)",0.5069,0.4989,0.69,0.5235
2024,"(0.5, 0.866)",0.4742,0.4951,0.6768,0.5049
2023,"(-0.0, 1.0)",0.504,0.4763,0.6671,0.4725
2023,"(-0.5, 0.866)",0.548,0.5271,0.6947,0.5058
2023,"(-0.866, 0.5)",0.6214,0.5886,0.7476,0.5448
2023,"(-1.0, -0.0)",0.5658,0.612,0.7644,0.6202
2023,"(-0.866, -0.5)",0.5505,0.5367,0.7282,0.565
2023,"(-0.5, -0.866)",0.4646,0.5153,0.6794,0.5509
2023,"(0.0, -1.0)",0.4427,0.4637,0.6615,0.4647
2023,"(0.5, -0.866)",0.5082,0.4728,0.6424,0.4451
2023,"(0.866, -0.5)",0.54,0.5266,0.7056,0.5121
2023,"(1.0, 0.0)",0.5137,0.5074,0.645,0.5035
2023,"(0.866, 0.5)",0.5311,0.5049,0.6952,0.5142
2023,"(0.5, 0.866)",0.5423,0.5202,0.6965,0.5378
2022,"(-0.0, 1.0)",0.5422,0.5251,0.682,0.5406
2022,"(-0.5, 0.866)",0.5853,0.6025,0.7036,0.5413
2022,"(-0.866, 0.5)",0.5457,0.6017,0.7484,0.5874
2022,"(-1.0, -0.0)",0.6057,0.5776,0.7199,0.533
2022,"(-0.866, -0.5)",0.6796,0.6389,0.7784,0.6107
2022,"(-0.5, -0.866)",0.7376,0.734,0.8083,0.6807
2022,"(0.0, -1.0)",0.8097,0.8248,0.876,0.7358
2022,"(0.5, -0.866)",0.7222,0.7973,0.8554,0.8045
2022,"(0.866, -0.5)",0.7009,0.7218,0.8229,0.7275
2022,"(1.0, 0.0)",0.6614,0.8755,0.8266,0.6935
2022,"(0.866, 0.5)",0.6005,0.653,0.7835,0.6583
2022,"(0.5, 0.866)",0.5048,0.5661,0.7077,0.5999
2021,"(-0.0, 1.0)",0.4381,0.4814,0.6345,0.5
2021,"(-0.5, 0.866)",0.5637,0.5373,0.6469,0.4303
2021,"(-0.866, 0.5)",0.5004,0.5406,0.7074,0.5645
2021,"(-1.0, -0.0)",0.45,0.4757,0.6635,0.4986
2021,"(-0.866, -0.5)",0.4911,0.4555,0.6303,0.4482
2021,"(-0.5, -0.866)",0.488,0.478,0.6517,0.4903
2021,"(0.0, -1.0)",0.4356,0.4592,0.6591,0.4866
2021,"(0.5, -0.866)",0.4123,0.4077,0.6292,0.4314
2021,"(0.866, -0.5)",0.3804,0.3925,0.6049,0.4102
2021,"(1.0, 0.0)",0.3993,0.4111,0.6025,0.3761
2021,"(0.866, 0.5)",0.3228,0.3802,0.5679,0.3942
2021,"(0.5, 0.866)",0.2952,0.3068,0.5404,0.3224
2020,"(-0.0, 1.0)",0.2698,0.2723,0.5202,0.294
2020,"(-0.5, 0.866)",0.1942,0.2498,0.4567,0.2695
2020,"(-0.866, 0.5)",0.23,0.216,0.4646,0.1958
2020,"(-1.0, -0.0)",0.2525,0.2288,0.4721,0.23
2020,"(-0.866, -0.5)",0.2337,0.2314,0.4934,0.2484
2020,"(-0.5, -0.866)",0.2295,0.2212,0.487,0.2304
2020,"(0.0, -1.0)",0.194,0.2154,0.4606,0.2226
2020,"(0.5, -0.866)",0.0698,0.1719,0.3605,0.1935
2020,"(0.866, -0.5)",0.0779,0.1226,0,0.065
2020,"(1.0, 0.0)",0.2592,0.2677,0.368,0.0776
2020,"(0.866, 0.5)",0.3153,0.311,0.5198,0.265
2020,"(0.5, 0.866)",0.3966,0.3938,0.5638,0.3175
2019,"(-0.0, 1.0)",0.3495,0.3693,0.5908,0.3908
2019,"(-0.5, 0.866)",0.3394,0.3425,0.5829,0.3453
2019,"(-0.866, 0.5)",0.3404,0.329,0.5639,0.3377
2019,"(-1.0, -0.0)",0.3459,0.377,0.5753,0.3369
2019,"(-0.866, -0.5)",0.3678,0.3369,0.561,0.3448
2019,"(-0.5, -0.866)",0.3787,0.3589,0.5869,0.3717
2019,"(0.0, -1.0)",0.3338,0.3514,0.5615,0.3708
2019,"(0.5, -0.866)",0.4104,0.3811,0.5766,0.3325
2019,"(0.866, -0.5)",0.3862,0.4009,0.6203,0.4128
2019,"(1.0, 0.0)",0.363,0.3573,0.5857,0.3837
2019,"(0.866, 0.5)",0.3383,0.3356,0.5654,0.3612
2019,"(0.5, 0.866)",0.2753,0.3175,0.5229,0.3347
2018,"(-0.0, 1.0)",0.3263,0.3114,0.5106,0.27
2018,"(-0.5, 0.866)",0.4218,0.3919,0.5541,0.3126
2018,"(-0.866, 0.5)",0.4864,0.4774,0.6492,0.4236
2018,"(-1.0, -0.0)",0.4603,0.4538,0.6619,0.4849
2018,"(-0.866, -0.5)",0.4491,0.4299,0.6469,0.4582
2018,"(-0.5, -0.866)",0.4889,0.4653,0.6629,0.4502
2018,"(0.0, -1.0)",0.4386,0.4593,0.6417,0.4918
2018,"(0.5, -0.866)",0.45,0.4472,0.6553,0.437
2018,"(0.866, -0.5)",0.422,0.4229,0.6307,0.4488
2018,"(1.0, 0.0)",0.3962,0.4005,0.6192,0.4207
2018,"(0.866, 0.5)",0.4209,0.3987,0.6076,0.3953
2018,"(0.5, 0.866)",0.3859,0.4013,0.6201,0.4191
2017,"(-0.0, 1.0)",0.3645,0.3557,0.5937,0.3859
2017,"(-0.5, 0.866)",0.3432,0.3448,0.5818,0.3626
2017,"(-0.866, 0.5)",0.3201,0.3136,0.5522,0.3392
2017,"(-1.0, -0.0)",0.2851,0.2988,0.5365,0.3183
2017,"(-0.866, -0.5)",0.3091,0.2808,0.5305,0.2841
2017,"(-0.5, -0.866)",0.279,0.2807,0.5186,0.3068
2017,"(0.0, -1.0)",0.297,0.2714,0.5087,0.2749
2017,"(0.5, -0.866)",0.3012,0.2925,0.5192,0.2925
2017,"(0.866, -0.5)",0.3128,0.3055,0.5467,0.3003
2017,"(1.0, 0.0)",0.3379,0.3106,0.5393,0.3101
2017,"(0.866, 0.5)",0.3287,0.3143,0.5653,0.3364
2017,"(0.5, 0.866)",0.3398,0.3165,0.5622,0.3271
2016,"(-0.0, 1.0)",0.3004,0.3111,0.5515,0.3342
2016,"(-0.5, 0.866)",0.2827,0.2769,0.5096,0.3011
2016,"(-0.866, 0.5)",0.2925,0.2919,0.537,0.2812
2016,"(-1.0, -0.0)",0.268,0.2651,0.5118,0.2919
2016,"(-0.866, -0.5)",0.2411,0.2683,0.491,0.2645
2016,"(-0.5, -0.866)",0.2951,0.2728,0.4995,0.2406
2016,"(0.0, -1.0)",0.2985,0.29,0.532,0.2926
2016,"(0.5, -0.866)",0.2761,0.2792,0.5147,0.2985
2016,"(0.866, -0.5)",0.2165,0.2537,0.4666,0.274
2016,"(1.0, 0.0)",0.1839,0.2175,0.4551,0.2155
2016,"(0.866, 0.5)",0.1834,0.1639,0.4099,0.18
2016,"(0.5, 0.866)",0.2123,0.1914,0.4107,0.179
2015,"(-0.0, 1.0)",0.244,0.2199,0.4588,0.2054
2015,"(-0.5, 0.866)",0.2801,0.2654,0.4898,0.241
2015,"(-0.866, 0.5)",0.2721,0.2844,0.5119,0.2791
2015,"(-1.0, -0.0)",0.2929,0.2692,0.5158,0.2676
2015,"(-0.866, -0.5)",0.2834,0.2726,0.4821,0.2993
2015,"(-0.5, -0.866)",0.3765,0.3443,0.5373,0.2832
2015,"(0.0, -1.0)",0.3865,0.3654,0.6,0.3785
2015,"(0.5, -0.866)",0.3827,0.371,0.598,0.3849
2015,"(0.866, -0.5)",0.2887,0.3508,0.5396,0.3798
2015,"(1.0, 0.0)",0.3033,0.296,0.5086,0.2869
2015,"(0.866, 0.5)",0.289,0.3091,0.5372,0.3036
2015,"(0.5, 0.866)",0.3364,0.3156,0.5181,0.2919
2014,"(-0.0, 1.0)",0.4304,0.4227,0.5728,0.3307
2014,"(-0.5, 0.866)",0.5424,0.5077,0.6547,0.4301
