"Year","Month","CruidOil_Price"
2024,"(1.0, 0.0)",0.5495
2024,"(0.866, 0.5)",0.5206
2024,"(0.5, 0.866)",0.5019
2023,"(-0.0, 1.0)",0.4692
2023,"(-0.5, 0.866)",0.5027
2023,"(-0.866, 0.5)",0.542
2023,"(-1.0, -0.0)",0.6179
2023,"(-0.866, -0.5)",0.5623
2023,"(-0.5, -0.866)",0.5481
2023,"(0.0, -1.0)",0.4614
2023,"(0.5, -0.866)",0.4416
2023,"(0.866, -0.5)",0.5091
2023,"(1.0, 0.0)",0.5005
2023,"(0.866, 0.5)",0.5112
2023,"(0.5, 0.866)",0.5349
2022,"(-0.0, 1.0)",0.5377
2022,"(-0.5, 0.866)",0.5384
2022,"(-0.866, 0.5)",0.5848
2022,"(-1.0, -0.0)",0.5301
2022,"(-0.866, -0.5)",0.6082
2022,"(-0.5, -0.866)",0.6787
2022,"(0.0, -1.0)",0.7341
2022,"(0.5, -0.866)",0.8033
2022,"(0.866, -0.5)",0.7258
2022,"(1.0, 0.0)",0.6916
2022,"(0.866, 0.5)",0.6562
2022,"(0.5, 0.866)",0.5974
2021,"(-0.0, 1.0)",0.4969
2021,"(-0.5, 0.866)",0.4268
2021,"(-0.866, 0.5)",0.5618
2021,"(-1.0, -0.0)",0.4955
2021,"(-0.866, -0.5)",0.4448
2021,"(-0.5, -0.866)",0.4871
2021,"(0.0, -1.0)",0.4834
2021,"(0.5, -0.866)",0.4279
2021,"(0.866, -0.5)",0.4066
2021,"(1.0, 0.0)",0.3723
2021,"(0.866, 0.5)",0.3904
2021,"(0.5, 0.866)",0.3182
2020,"(-0.0, 1.0)",0.2896
2020,"(-0.5, 0.866)",0.2649
2020,"(-0.866, 0.5)",0.1908
2020,"(-1.0, -0.0)",0.2252
2020,"(-0.866, -0.5)",0.2437
2020,"(-0.5, -0.866)",0.2256
2020,"(0.0, -1.0)",0.2178
2020,"(0.5, -0.866)",0.1885
2020,"(0.866, -0.5)",0.0592
2020,"(1.0, 0.0)",0.0719
2020,"(0.866, 0.5)",0.2604
2020,"(0.5, 0.866)",0.3132
2019,"(-0.0, 1.0)",0.387
2019,"(-0.5, 0.866)",0.3413
2019,"(-0.866, 0.5)",0.3336
2019,"(-1.0, -0.0)",0.3327
2019,"(-0.866, -0.5)",0.3407
2019,"(-0.5, -0.866)",0.3678
2019,"(0.0, -1.0)",0.3669
2019,"(0.5, -0.866)",0.3283
2019,"(0.866, -0.5)",0.4091
2019,"(1.0, 0.0)",0.3799
2019,"(0.866, 0.5)",0.3572
2019,"(0.5, 0.866)",0.3306
2018,"(-0.0, 1.0)",0.2655
2018,"(-0.5, 0.866)",0.3084
2018,"(-0.866, 0.5)",0.42
2018,"(-1.0, -0.0)",0.4817
2018,"(-0.866, -0.5)",0.4549
2018,"(-0.5, -0.866)",0.4468
2018,"(0.0, -1.0)",0.4887
2018,"(0.5, -0.866)",0.4335
2018,"(0.866, -0.5)",0.4453
2018,"(1.0, 0.0)",0.4171
2018,"(0.866, 0.5)",0.3915
2018,"(0.5, 0.866)",0.4155
2017,"(-0.0, 1.0)",0.382
2017,"(-0.5, 0.866)",0.3586
2017,"(-0.866, 0.5)",0.3351
2017,"(-1.0, -0.0)",0.3141
2017,"(-0.866, -0.5)",0.2796
2017,"(-0.5, -0.866)",0.3025
2017,"(0.0, -1.0)",0.2704
2017,"(0.5, -0.866)",0.2881
2017,"(0.866, -0.5)",0.2959
2017,"(1.0, 0.0)",0.3058
2017,"(0.866, 0.5)",0.3323
2017,"(0.5, 0.866)",0.323
2016,"(-0.0, 1.0)",0.33
2016,"(-0.5, 0.866)",0.2968
2016,"(-0.866, 0.5)",0.2768
2016,"(-1.0, -0.0)",0.2875
2016,"(-0.866, -0.5)",0.26
2016,"(-0.5, -0.866)",0.2359
2016,"(0.0, -1.0)",0.2882
2016,"(0.5, -0.866)",0.2941
2016,"(0.866, -0.5)",0.2695
2016,"(1.0, 0.0)",0.2106
2016,"(0.866, 0.5)",0.1749
2016,"(0.5, 0.866)",0.1739
2015,"(-0.0, 1.0)",0.2005
2015,"(-0.5, 0.866)",0.2363
2015,"(-0.866, 0.5)",0.2747
2015,"(-1.0, -0.0)",0.263
2015,"(-0.866, -0.5)",0.2949
2015,"(-0.5, -0.866)",0.2788
2015,"(0.0, -1.0)",0.3747
2015,"(0.5, -0.866)",0.3811
2015,"(0.866, -0.5)",0.3759
2015,"(1.0, 0.0)",0.2825
2015,"(0.866, 0.5)",0.2993
2015,"(0.5, 0.866)",0.2875
2014,"(-0.0, 1.0)",0.3265
2014,"(-0.5, 0.866)",0.4265
2014,"(-0.866, 0.5)",0.5383
2014,"(-1.0, -0.0)",0.6207
2014,"(-0.866, -0.5)",0.658
2014,"(-0.5, -0.866)",0.6752
2014,"(0.0, -1.0)",0.7311
2014,"(0.5, -0.866)",0.7104
2014,"(0.866, -0.5)",0.6874
2014,"(1.0, 0.0)",0.7017
2014,"(0.866, 0.5)",0.7095
2014,"(0.5, 0.866)",0.6699
2013,"(-0.0, 1.0)",0.6771
