"Year","Month","USD-AUD_Price"
2024,"(1.0, 0.0)",0.5615
2024,"(0.866, 0.5)",0.5698
2024,"(0.5, 0.866)",0.5571
2023,"(-0.0, 1.0)",0.5119
2023,"(-0.5, 0.866)",0.5497
2023,"(-0.866, 0.5)",0.6024
2023,"(-1.0, -0.0)",0.5826
2023,"(-0.866, -0.5)",0.5729
2023,"(-0.5, -0.866)",0.5285
2023,"(0.0, -1.0)",0.5381
2023,"(0.5, -0.866)",0.5688
2023,"(0.866, -0.5)",0.5472
2023,"(1.0, 0.0)",0.5345
2023,"(0.866, 0.5)",0.5267
2023,"(0.5, 0.866)",0.4699
2022,"(-0.0, 1.0)",0.5115
2022,"(-0.5, 0.866)",0.5162
2022,"(-0.866, 0.5)",0.5898
2022,"(-1.0, -0.0)",0.5886
2022,"(-0.866, -0.5)",0.5068
2022,"(-0.5, -0.866)",0.4816
2022,"(0.0, -1.0)",0.4958
2022,"(0.5, -0.866)",0.4506
2022,"(0.866, -0.5)",0.4686
2022,"(1.0, 0.0)",0.4036
2022,"(0.866, 0.5)",0.4367
2022,"(0.5, 0.866)",0.468
2021,"(-0.0, 1.0)",0.437
2021,"(-0.5, 0.866)",0.4583
2021,"(-0.866, 0.5)",0.3977
2021,"(-1.0, -0.0)",0.4423
2021,"(-0.866, -0.5)",0.4285
2021,"(-0.5, -0.866)",0.424
2021,"(0.0, -1.0)",0.4009
2021,"(0.5, -0.866)",0.3678
2021,"(0.866, -0.5)",0.37
2021,"(1.0, 0.0)",0.3866
2021,"(0.866, 0.5)",0.3715
2021,"(0.5, 0.866)",0.3803
2020,"(-0.0, 1.0)",0.373
2020,"(-0.5, 0.866)",0.4239
2020,"(-0.866, 0.5)",0.4748
2020,"(-1.0, -0.0)",0.4525
2020,"(-0.866, -0.5)",0.4193
2020,"(-0.5, -0.866)",0.4558
2020,"(0.0, -1.0)",0.4958
2020,"(0.5, -0.866)",0.5381
2020,"(0.866, -0.5)",0.5676
2020,"(1.0, 0.0)",0.645
2020,"(0.866, 0.5)",0.5679
2020,"(0.5, 0.866)",0.5334
2019,"(-0.0, 1.0)",0.4758
