"Year","Month","USD-CLP_Price"
2024,"(1.0, 0.0)",1
2024,"(0.866, 0.5)",0.9797
2024,"(0.5, 0.866)",0.9234
2023,"(-0.0, 1.0)",0.8485
2023,"(-0.5, 0.866)",0.832
2023,"(-0.866, 0.5)",0.8701
2023,"(-1.0, -0.0)",0.8641
2023,"(-0.866, -0.5)",0.8039
2023,"(-0.5, -0.866)",0.7833
2023,"(0.0, -1.0)",0.7252
2023,"(0.5, -0.866)",0.7366
2023,"(0.866, -0.5)",0.7336
2023,"(1.0, 0.0)",0.7152
2023,"(0.866, 0.5)",0.7663
2023,"(0.5, 0.866)",0.7168
2022,"(-0.0, 1.0)",0.7978
2022,"(-0.5, 0.866)",0.8613
2022,"(-0.866, 0.5)",0.9451
2022,"(-1.0, -0.0)",0.9816
2022,"(-0.866, -0.5)",0.8731
2022,"(-0.5, -0.866)",0.8778
2022,"(0.0, -1.0)",0.9038
2022,"(0.5, -0.866)",0.76
2022,"(0.866, -0.5)",0.8029
2022,"(1.0, 0.0)",0.7019
2022,"(0.866, 0.5)",0.7207
2022,"(0.5, 0.866)",0.7236
2021,"(-0.0, 1.0)",0.8029
2021,"(-0.5, 0.866)",0.7651
2021,"(-0.866, 0.5)",0.7442
2021,"(-1.0, -0.0)",0.7401
2021,"(-0.866, -0.5)",0.6814
2021,"(-0.5, -0.866)",0.656
2021,"(0.0, -1.0)",0.6181
2021,"(0.5, -0.866)",0.6038
2021,"(0.866, -0.5)",0.585
2021,"(1.0, 0.0)",0.6003
2021,"(0.866, 0.5)",0.6054
2021,"(0.5, 0.866)",0.6226
2020,"(-0.0, 1.0)",0.5841
2020,"(-0.5, 0.866)",0.663
2020,"(-0.866, 0.5)",0.6821
2020,"(-1.0, -0.0)",0.7002
2020,"(-0.866, -0.5)",0.687
2020,"(-0.5, -0.866)",0.6564
2020,"(0.0, -1.0)",0.7592
2020,"(0.5, -0.866)",0.7213
2020,"(0.866, -0.5)",0.7755
2020,"(1.0, 0.0)",0.8077
2020,"(0.866, 0.5)",0.7504
2020,"(0.5, 0.866)",0.7228
2019,"(-0.0, 1.0)",0.6487
2019,"(-0.5, 0.866)",0.7286
2019,"(-0.866, 0.5)",0.6319
2019,"(-1.0, -0.0)",0.6128
2019,"(-0.866, -0.5)",0.6012
2019,"(-0.5, -0.866)",0.5743
2019,"(0.0, -1.0)",0.5337
2019,"(0.5, -0.866)",0.5837
2019,"(0.866, -0.5)",0.534
2019,"(1.0, 0.0)",0.5382
2019,"(0.866, 0.5)",0.5002
2019,"(0.5, 0.866)",0.5001
2018,"(-0.0, 1.0)",0.558
2018,"(-0.5, 0.866)",0.5248
2018,"(-0.866, 0.5)",0.5623
2018,"(-1.0, -0.0)",0.5033
2018,"(-0.866, -0.5)",0.5397
2018,"(-0.5, -0.866)",0.4718
2018,"(0.0, -1.0)",0.4974
2018,"(0.5, -0.866)",0.4613
2018,"(0.866, -0.5)",0.4347
2018,"(1.0, 0.0)",0.4196
2018,"(0.866, 0.5)",0.4062
2018,"(0.5, 0.866)",0.4176
2017,"(-0.0, 1.0)",0.437
2017,"(-0.5, 0.866)",0.487
2017,"(-0.866, 0.5)",0.4699
2017,"(-1.0, -0.0)",0.4754
2017,"(-0.866, -0.5)",0.4525
2017,"(-0.5, -0.866)",0.4903
2017,"(0.0, -1.0)",0.514
2017,"(0.5, -0.866)",0.527
2017,"(0.866, -0.5)",0.5171
2017,"(1.0, 0.0)",0.5059
2017,"(0.866, 0.5)",0.492
2017,"(0.5, 0.866)",0.4884
2016,"(-0.0, 1.0)",0.5215
2016,"(-0.5, 0.866)",0.5311
2016,"(-0.866, 0.5)",0.4954
2016,"(-1.0, -0.0)",0.5034
2016,"(-0.866, -0.5)",0.5382
2016,"(-0.5, -0.866)",0.4992
2016,"(0.0, -1.0)",0.5095
2016,"(0.5, -0.866)",0.5568
2016,"(0.866, -0.5)",0.5081
2016,"(1.0, 0.0)",0.5225
2016,"(0.866, 0.5)",0.563
2016,"(0.5, 0.866)",0.5889
2015,"(-0.0, 1.0)",0.5812
2015,"(-0.5, 0.866)",0.5853
2015,"(-0.866, 0.5)",0.5554
2015,"(-1.0, -0.0)",0.5632
2015,"(-0.866, -0.5)",0.5576
2015,"(-0.5, -0.866)",0.5288
2015,"(0.0, -1.0)",0.4745
2015,"(0.5, -0.866)",0.4415
2015,"(0.866, -0.5)",0.4313
2015,"(1.0, 0.0)",0.4515
2015,"(0.866, 0.5)",0.4406
2015,"(0.5, 0.866)",0.4651
2014,"(-0.0, 1.0)",0.4242
2014,"(-0.5, 0.866)",0.4266
2014,"(-0.866, 0.5)",0.3754
2014,"(-1.0, -0.0)",0.4109
2014,"(-0.866, -0.5)",0.3931
2014,"(-0.5, -0.866)",0.371
2014,"(0.0, -1.0)",0.3405
2014,"(0.5, -0.866)",0.3358
2014,"(0.866, -0.5)",0.3585
2014,"(1.0, 0.0)",0.3342
2014,"(0.866, 0.5)",0.3503
2014,"(0.5, 0.866)",0.3451
2013,"(-0.0, 1.0)",0.2987
2013,"(-0.5, 0.866)",0.3103
2013,"(-0.866, 0.5)",0.2784
2013,"(-1.0, -0.0)",0.2673
2013,"(-0.866, -0.5)",0.2752
2013,"(-0.5, -0.866)",0.2805
2013,"(0.0, -1.0)",0.2709
2013,"(0.5, -0.866)",0.2591
2013,"(0.866, -0.5)",0.2144
2013,"(1.0, 0.0)",0.2153
2013,"(0.866, 0.5)",0.2174
