"Year","Month","USD-CNY_Price"
2024,"(1.0, 0.0)",0.7899
2024,"(0.866, 0.5)",0.7856
2024,"(0.5, 0.866)",0.7827
2023,"(-0.0, 1.0)",0.7729
2023,"(-0.5, 0.866)",0.7783
2023,"(-0.866, 0.5)",0.8037
2023,"(-1.0, -0.0)",0.8016
2023,"(-0.866, -0.5)",0.7956
2023,"(-0.5, -0.866)",0.7793
2023,"(0.0, -1.0)",0.7946
2023,"(0.5, -0.866)",0.7748
2023,"(0.866, -0.5)",0.7466
2023,"(1.0, 0.0)",0.7405
2023,"(0.866, 0.5)",0.7496
2023,"(0.5, 0.866)",0.7245
2022,"(-0.0, 1.0)",0.7447
2022,"(-0.5, 0.866)",0.7715
2022,"(-0.866, 0.5)",0.8017
2022,"(-1.0, -0.0)",0.7752
2022,"(-0.866, -0.5)",0.7435
2022,"(-0.5, -0.866)",0.723
2022,"(0.0, -1.0)",0.7166
2022,"(0.5, -0.866)",0.7128
2022,"(0.866, -0.5)",0.7039
2022,"(1.0, 0.0)",0.666
2022,"(0.866, 0.5)",0.6616
2022,"(0.5, 0.866)",0.669
2021,"(-0.0, 1.0)",0.6678
2021,"(-0.5, 0.866)",0.6695
2021,"(-0.866, 0.5)",0.6752
2021,"(-1.0, -0.0)",0.6809
2021,"(-0.866, -0.5)",0.6831
2021,"(-0.5, -0.866)",0.6831
2021,"(0.0, -1.0)",0.6825
2021,"(0.5, -0.866)",0.6701
2021,"(0.866, -0.5)",0.6848
2021,"(1.0, 0.0)",0.6959
2021,"(0.866, 0.5)",0.6848
2021,"(0.5, 0.866)",0.6781
2020,"(-0.0, 1.0)",0.6922
2020,"(-0.5, 0.866)",0.6994
2020,"(-0.866, 0.5)",0.7157
2020,"(-1.0, -0.0)",0.7295
2020,"(-0.866, -0.5)",0.7376
2020,"(-0.5, -0.866)",0.7555
2020,"(0.0, -1.0)",0.7683
2020,"(0.5, -0.866)",0.7782
2020,"(0.866, -0.5)",0.7676
2020,"(1.0, 0.0)",0.7705
2020,"(0.866, 0.5)",0.7578
2020,"(0.5, 0.866)",0.7502
2019,"(-0.0, 1.0)",0.7538
2019,"(-0.5, 0.866)",0.7635
2019,"(-0.866, 0.5)",0.7645
2019,"(-1.0, -0.0)",0.78
2019,"(-0.866, -0.5)",0.7809
2019,"(-0.5, -0.866)",0.7427
2019,"(0.0, -1.0)",0.7401
2019,"(0.5, -0.866)",0.7454
2019,"(0.866, -0.5)",0.7217
2019,"(1.0, 0.0)",0.7184
2019,"(0.866, 0.5)",0.7156
2019,"(0.5, 0.866)",0.7163
2018,"(-0.0, 1.0)",0.7416
2018,"(-0.5, 0.866)",0.7529
2018,"(-0.866, 0.5)",0.7554
2018,"(-1.0, -0.0)",0.7405
2018,"(-0.866, -0.5)",0.7352
2018,"(-0.5, -0.866)",0.7315
2018,"(0.0, -1.0)",0.7052
2018,"(0.5, -0.866)",0.6759
2018,"(0.866, -0.5)",0.665
2018,"(1.0, 0.0)",0.6566
2018,"(0.866, 0.5)",0.6644
2018,"(0.5, 0.866)",0.6582
2017,"(-0.0, 1.0)",0.6895
2017,"(-0.5, 0.866)",0.704
2017,"(-0.866, 0.5)",0.7074
2017,"(-1.0, -0.0)",0.7103
