"Year","Month","USD-PEN_Price"
2024,"(0.866, 0.5)",0.9007
2024,"(0.5, 0.866)",0.9067
2023,"(-0.0, 1.0)",0.8832
2023,"(-0.5, 0.866)",0.8884
2023,"(-0.866, 0.5)",0.9169
2023,"(-1.0, -0.0)",0.9048
2023,"(-0.866, -0.5)",0.8752
2023,"(-0.5, -0.866)",0.8505
2023,"(0.0, -1.0)",0.8569
2023,"(0.5, -0.866)",0.8698
2023,"(0.866, -0.5)",0.8833
2023,"(1.0, 0.0)",0.8993
2023,"(0.866, 0.5)",0.9038
2023,"(0.5, 0.866)",0.9178
2022,"(-0.0, 1.0)",0.9109
2022,"(-0.5, 0.866)",0.915
2022,"(-0.866, 0.5)",0.9541
2022,"(-1.0, -0.0)",0.9591
2022,"(-0.866, -0.5)",0.9191
2022,"(-0.5, -0.866)",0.9426
2022,"(0.0, -1.0)",0.9141
2022,"(0.5, -0.866)",0.8849
2022,"(0.866, -0.5)",0.9199
2022,"(1.0, 0.0)",0.8753
2022,"(0.866, 0.5)",0.9025
2022,"(0.5, 0.866)",0.9205
2021,"(-0.0, 1.0)",0.962
2021,"(-0.5, 0.866)",0.9812
2021,"(-0.866, 0.5)",0.9624
2021,"(-1.0, -0.0)",1
2021,"(-0.866, -0.5)",0.9876
2021,"(-0.5, -0.866)",0.9825
2021,"(0.0, -1.0)",0.9212
2021,"(0.5, -0.866)",0.9177
2021,"(0.866, -0.5)",0.9035
2021,"(1.0, 0.0)",0.894
2021,"(0.866, 0.5)",0.8674
2021,"(0.5, 0.866)",0.8641
2020,"(-0.0, 1.0)",0.8594
2020,"(-0.5, 0.866)",0.8557
2020,"(-0.866, 0.5)",0.8578
2020,"(-1.0, -0.0)",0.8545
2020,"(-0.866, -0.5)",0.8377
2020,"(-0.5, -0.866)",0.8349
2020,"(0.0, -1.0)",0.8374
2020,"(0.5, -0.866)",0.8061
2020,"(0.866, -0.5)",0.7902
2020,"(1.0, 0.0)",0.8066
2020,"(0.866, 0.5)",0.8128
2020,"(0.5, 0.866)",0.7935
2019,"(-0.0, 1.0)",0.7731
2019,"(-0.5, 0.866)",0.7983
2019,"(-0.866, 0.5)",0.7823
2019,"(-1.0, -0.0)",0.7893
2019,"(-0.866, -0.5)",0.7952
2019,"(-0.5, -0.866)",0.7705
2019,"(0.0, -1.0)",0.7656
2019,"(0.5, -0.866)",0.7917
2019,"(0.866, -0.5)",0.7703
2019,"(1.0, 0.0)",0.7742
2019,"(0.866, 0.5)",0.7696
2019,"(0.5, 0.866)",0.7786
2018,"(-0.0, 1.0)",0.789
2018,"(-0.5, 0.866)",0.792
2018,"(-0.866, 0.5)",0.7887
2018,"(-1.0, -0.0)",0.7698
2018,"(-0.866, -0.5)",0.7701
2018,"(-0.5, -0.866)",0.7608
2018,"(0.0, -1.0)",0.7644
2018,"(0.5, -0.866)",0.7618
2018,"(0.866, -0.5)",0.7555
2018,"(1.0, 0.0)",0.7492
2018,"(0.866, 0.5)",0.7601
2018,"(0.5, 0.866)",0.7459
2017,"(-0.0, 1.0)",0.7523
2017,"(-0.5, 0.866)",0.7502
2017,"(-0.866, 0.5)",0.7557
2017,"(-1.0, -0.0)",0.759
2017,"(-0.866, -0.5)",0.7515
2017,"(-0.5, -0.866)",0.7532
2017,"(0.0, -1.0)",0.755
2017,"(0.5, -0.866)",0.7613
2017,"(0.866, -0.5)",0.7542
2017,"(1.0, 0.0)",0.7545
2017,"(0.866, 0.5)",0.7596
2017,"(0.5, 0.866)",0.7608
2016,"(-0.0, 1.0)",0.7854
2016,"(-0.5, 0.866)",0.8007
2016,"(-0.866, 0.5)",0.7865
2016,"(-1.0, -0.0)",0.7928
2016,"(-0.866, -0.5)",0.7953
2016,"(-0.5, -0.866)",0.7832
2016,"(0.0, -1.0)",0.7652
2016,"(0.5, -0.866)",0.7901
2016,"(0.866, -0.5)",0.7632
2016,"(1.0, 0.0)",0.7728
2016,"(0.866, 0.5)",0.8312
2016,"(0.5, 0.866)",0.8172
2015,"(-0.0, 1.0)",0.7999
2015,"(-0.5, 0.866)",0.7872
2015,"(-0.866, 0.5)",0.7616
2015,"(-1.0, -0.0)",0.7482
2015,"(-0.866, -0.5)",0.752
2015,"(-0.5, -0.866)",0.7353
2015,"(0.0, -1.0)",0.7326
2015,"(0.5, -0.866)",0.7261
2015,"(0.866, -0.5)",0.7198
2015,"(1.0, 0.0)",0.7092
2015,"(0.866, 0.5)",0.712
2015,"(0.5, 0.866)",0.703
2014,"(-0.0, 1.0)",0.68
2014,"(-0.5, 0.866)",0.664
2014,"(-0.866, 0.5)",0.664
2014,"(-1.0, -0.0)",0.654
