Year,Month,Iron_Price
1990,"(0.5, 0.866)",0.0127
1990,"(0.866, 0.5)",0.0127
1990,"(1.0, 0.0)",0.0127
1990,"(0.866, -0.5)",0.0127
1990,"(0.5, -0.866)",0.0127
1990,"(0.0, -1.0)",0.0127
1990,"(-0.5, -0.866)",0.0127
1990,"(-0.866, -0.5)",0.0127
1990,"(-1.0, -0.0)",0.0127
1990,"(-0.866, 0.5)",0.0127
1990,"(-0.5, 0.866)",0.0127
1990,"(-0.0, 1.0)",0.0127
1991,"(0.5, 0.866)",0.0175
1991,"(0.866, 0.5)",0.0175
1991,"(1.0, 0.0)",0.0175
1991,"(0.866, -0.5)",0.0175
1991,"(0.5, -0.866)",0.0175
1991,"(0.0, -1.0)",0.0175
1991,"(-0.5, -0.866)",0.0175
1991,"(-0.866, -0.5)",0.0175
1991,"(-1.0, -0.0)",0.0175
1991,"(-0.866, 0.5)",0.0175
1991,"(-0.5, 0.866)",0.0175
1991,"(-0.0, 1.0)",0.0175
1992,"(0.5, 0.866)",0.014
1992,"(0.866, 0.5)",0.014
1992,"(1.0, 0.0)",0.014
1992,"(0.866, -0.5)",0.014
1992,"(0.5, -0.866)",0.014
1992,"(0.0, -1.0)",0.014
1992,"(-0.5, -0.866)",0.014
1992,"(-0.866, -0.5)",0.014
1992,"(-1.0, -0.0)",0.014
1992,"(-0.866, 0.5)",0.014
1992,"(-0.5, 0.866)",0.014
1992,"(-0.0, 1.0)",0.014
1993,"(0.5, 0.866)",0.0055
1993,"(0.866, 0.5)",0.0055
1993,"(1.0, 0.0)",0.0055
1993,"(0.866, -0.5)",0.0055
1993,"(0.5, -0.866)",0.0055
1993,"(0.0, -1.0)",0.0055
1993,"(-0.5, -0.866)",0.0055
1993,"(-0.866, -0.5)",0.0055
1993,"(-1.0, -0.0)",0.0055
1993,"(-0.866, 0.5)",0.0055
1993,"(-0.5, 0.866)",0.0055
1993,"(-0.0, 1.0)",0.0055
1994,"(0.5, 0.866)",0.0
1994,"(0.866, 0.5)",0.0
1994,"(1.0, 0.0)",0.0
1994,"(0.866, -0.5)",0.0
1994,"(0.5, -0.866)",0.0
1994,"(0.0, -1.0)",0.0
1994,"(-0.5, -0.866)",0.0
1994,"(-0.866, -0.5)",0.0
1994,"(-1.0, -0.0)",0.0
1994,"(-0.866, 0.5)",0.0
1994,"(-0.5, 0.866)",0.0
1994,"(-0.0, 1.0)",0.0
1995,"(0.5, 0.866)",0.004
1995,"(0.866, 0.5)",0.004
1995,"(1.0, 0.0)",0.004
1995,"(0.866, -0.5)",0.004
1995,"(0.5, -0.866)",0.004
1995,"(0.0, -1.0)",0.004
1995,"(-0.5, -0.866)",0.004
1995,"(-0.866, -0.5)",0.004
1995,"(-1.0, -0.0)",0.004
1995,"(-0.866, 0.5)",0.004
1995,"(-0.5, 0.866)",0.004
1995,"(-0.0, 1.0)",0.004
1996,"(0.5, 0.866)",0.0074
1996,"(0.866, 0.5)",0.0074
1996,"(1.0, 0.0)",0.0074
1996,"(0.866, -0.5)",0.0074
1996,"(0.5, -0.866)",0.0074
1996,"(0.0, -1.0)",0.0074
1996,"(-0.5, -0.866)",0.0074
1996,"(-0.866, -0.5)",0.0074
1996,"(-1.0, -0.0)",0.0074
1996,"(-0.866, 0.5)",0.0074
1996,"(-0.5, 0.866)",0.0074
1996,"(-0.0, 1.0)",0.0074
1997,"(0.5, 0.866)",0.0078
1997,"(0.866, 0.5)",0.0078
1997,"(1.0, 0.0)",0.0078
1997,"(0.866, -0.5)",0.0078
1997,"(0.5, -0.866)",0.0078
1997,"(0.0, -1.0)",0.0078
1997,"(-0.5, -0.866)",0.0078
1997,"(-0.866, -0.5)",0.0078
1997,"(-1.0, -0.0)",0.0078
1997,"(-0.866, 0.5)",0.0078
1997,"(-0.5, 0.866)",0.0078
1997,"(-0.0, 1.0)",0.0078
1998,"(0.5, 0.866)",0.0096
1998,"(0.866, 0.5)",0.0096
1998,"(1.0, 0.0)",0.0096
1998,"(0.866, -0.5)",0.0096
1998,"(0.5, -0.866)",0.0096
1998,"(0.0, -1.0)",0.0096
1998,"(-0.5, -0.866)",0.0096
1998,"(-0.866, -0.5)",0.0096
1998,"(-1.0, -0.0)",0.0096
1998,"(-0.866, 0.5)",0.0096
1998,"(-0.5, 0.866)",0.0096
1998,"(-0.0, 1.0)",0.0096
1999,"(0.5, 0.866)",0.0023
1999,"(0.866, 0.5)",0.0023
1999,"(1.0, 0.0)",0.0023
1999,"(0.866, -0.5)",0.0023
1999,"(0.5, -0.866)",0.0023
1999,"(0.0, -1.0)",0.0023
1999,"(-0.5, -0.866)",0.0023
1999,"(-0.866, -0.5)",0.0023
1999,"(-1.0, -0.0)",0.0023
1999,"(-0.866, 0.5)",0.0023
1999,"(-0.5, 0.866)",0.0023
1999,"(-0.0, 1.0)",0.0023
2000,"(0.5, 0.866)",0.0049
2000,"(0.866, 0.5)",0.0049
2000,"(1.0, 0.0)",0.0049
2000,"(0.866, -0.5)",0.0049
2000,"(0.5, -0.866)",0.0049
2000,"(0.0, -1.0)",0.0049
2000,"(-0.5, -0.866)",0.0049
2000,"(-0.866, -0.5)",0.0049
2000,"(-1.0, -0.0)",0.0049
2000,"(-0.866, 0.5)",0.0049
2000,"(-0.5, 0.866)",0.0049
2000,"(-0.0, 1.0)",0.0049
2001,"(0.5, 0.866)",0.0075
2001,"(0.866, 0.5)",0.0075
2001,"(1.0, 0.0)",0.0075
2001,"(0.866, -0.5)",0.0075
2001,"(0.5, -0.866)",0.0075
2001,"(0.0, -1.0)",0.0075
2001,"(-0.5, -0.866)",0.0075
2001,"(-0.866, -0.5)",0.0075
2001,"(-1.0, -0.0)",0.0075
2001,"(-0.866, 0.5)",0.0075
2001,"(-0.5, 0.866)",0.0075
2001,"(-0.0, 1.0)",0.0075
2002,"(0.5, 0.866)",0.006
2002,"(0.866, 0.5)",0.006
2002,"(1.0, 0.0)",0.006
2002,"(0.866, -0.5)",0.006
2002,"(0.5, -0.866)",0.006
2002,"(0.0, -1.0)",0.006
2002,"(-0.5, -0.866)",0.006
2002,"(-0.866, -0.5)",0.006
2002,"(-1.0, -0.0)",0.006
2002,"(-0.866, 0.5)",0.006
2002,"(-0.5, 0.866)",0.006
2002,"(-0.0, 1.0)",0.006
2003,"(0.5, 0.866)",0.0116
2003,"(0.866, 0.5)",0.0116
2003,"(1.0, 0.0)",0.0116
2003,"(0.866, -0.5)",0.0116
2003,"(0.5, -0.866)",0.0116
2003,"(0.0, -1.0)",0.0116
2003,"(-0.5, -0.866)",0.0116
2003,"(-0.866, -0.5)",0.0116
2003,"(-1.0, -0.0)",0.0116
2003,"(-0.866, 0.5)",0.0116
2003,"(-0.5, 0.866)",0.0116
2003,"(-0.0, 1.0)",0.0116
2004,"(0.5, 0.866)",0.0242
2004,"(0.866, 0.5)",0.0242
2004,"(1.0, 0.0)",0.0242
2004,"(0.866, -0.5)",0.0242
2004,"(0.5, -0.866)",0.0242
2004,"(0.0, -1.0)",0.0242
2004,"(-0.5, -0.866)",0.0242
2004,"(-0.866, -0.5)",0.0242
2004,"(-1.0, -0.0)",0.0242
2004,"(-0.866, 0.5)",0.0242
2004,"(-0.5, 0.866)",0.0242
2004,"(-0.0, 1.0)",0.0242
2005,"(0.5, 0.866)",0.0815
2005,"(0.866, 0.5)",0.0815
2005,"(1.0, 0.0)",0.0815
2005,"(0.866, -0.5)",0.0815
2005,"(0.5, -0.866)",0.0815
2005,"(0.0, -1.0)",0.0815
2005,"(-0.5, -0.866)",0.0815
2005,"(-0.866, -0.5)",0.0815
2005,"(-1.0, -0.0)",0.0815
2005,"(-0.866, 0.5)",0.0815
2005,"(-0.5, 0.866)",0.0815
2005,"(-0.0, 1.0)",0.0815
2006,"(0.5, 0.866)",0.1077
2006,"(0.866, 0.5)",0.1077
2006,"(1.0, 0.0)",0.1077
2006,"(0.866, -0.5)",0.1077
2006,"(0.5, -0.866)",0.1077
2006,"(0.0, -1.0)",0.1077
2006,"(-0.5, -0.866)",0.1077
2006,"(-0.866, -0.5)",0.1077
2006,"(-1.0, -0.0)",0.1077
2006,"(-0.866, 0.5)",0.1077
2006,"(-0.5, 0.866)",0.1077
2006,"(-0.0, 1.0)",0.1077
2007,"(0.5, 0.866)",0.1232
2007,"(0.866, 0.5)",0.1232
2007,"(1.0, 0.0)",0.1232
2007,"(0.866, -0.5)",0.1232
2007,"(0.5, -0.866)",0.1232
2007,"(0.0, -1.0)",0.1232
2007,"(-0.5, -0.866)",0.1232
2007,"(-0.866, -0.5)",0.1232
2007,"(-1.0, -0.0)",0.1232
2007,"(-0.866, 0.5)",0.1232
2007,"(-0.5, 0.866)",0.1232
2007,"(-0.0, 1.0)",0.1232
2008,"(0.5, 0.866)",0.2415
2008,"(0.866, 0.5)",0.2415
2008,"(1.0, 0.0)",0.2415
2008,"(0.866, -0.5)",0.2415
2008,"(0.5, -0.866)",0.2415
2008,"(0.0, -1.0)",0.2415
2008,"(-0.5, -0.866)",0.2415
2008,"(-0.866, -0.5)",0.2415
2008,"(-1.0, -0.0)",0.2415
2008,"(-0.866, 0.5)",0.2415
2008,"(-0.5, 0.866)",0.2415
2008,"(-0.0, 1.0)",0.2864
2009,"(0.5, 0.866)",0.2988
2009,"(0.866, 0.5)",0.3138
2009,"(1.0, 0.0)",0.2575
2009,"(0.866, -0.5)",0.2365
2009,"(0.5, -0.866)",0.2507
2009,"(0.0, -1.0)",0.2946
2009,"(-0.5, -0.866)",0.3548
2009,"(-0.866, -0.5)",0.4219
2009,"(-1.0, -0.0)",0.3389
2009,"(-0.866, 0.5)",0.3686
2009,"(-0.5, 0.866)",0.4297
2009,"(-0.0, 1.0)",0.459
2010,"(0.5, 0.866)",0.5601
2010,"(0.866, 0.5)",0.5684
2010,"(1.0, 0.0)",0.6279
2010,"(0.866, -0.5)",0.7879
2010,"(0.5, -0.866)",0.7335
2010,"(0.0, -1.0)",0.6468
2010,"(-0.5, -0.866)",0.5623
2010,"(-0.866, -0.5)",0.6552
2010,"(-1.0, -0.0)",0.6321
2010,"(-0.866, 0.5)",0.6705
2010,"(-0.5, 0.866)",0.7296
2010,"(-0.0, 1.0)",0.7686
2011,"(0.5, 0.866)",0.8229
2011,"(0.866, 0.5)",0.8599
2011,"(1.0, 0.0)",0.7727
2011,"(0.866, -0.5)",0.8211
2011,"(0.5, -0.866)",0.8105
2011,"(0.0, -1.0)",0.7801
2011,"(-0.5, -0.866)",0.7904
2011,"(-0.866, -0.5)",0.8123
2011,"(-1.0, -0.0)",0.8112
2011,"(-0.866, 0.5)",0.6801
2011,"(-0.5, 0.866)",0.6072
2011,"(-0.0, 1.0)",0.6117
2012,"(0.5, 0.866)",0.6307
2012,"(0.866, 0.5)",0.631
2012,"(1.0, 0.0)",0.6518
2012,"(0.866, -0.5)",0.6664
2012,"(0.5, -0.866)",0.6108
2012,"(0.0, -1.0)",0.6027
2012,"(-0.5, -0.866)",0.57
2012,"(-0.866, -0.5)",0.4714
2012,"(-1.0, -0.0)",0.4307
2012,"(-0.866, 0.5)",0.5015
2012,"(-0.5, 0.866)",0.5328
2012,"(-0.0, 1.0)",0.5746
2013,"(0.5, 0.866)",0.6804
2013,"(0.866, 0.5)",0.7006
2013,"(1.0, 0.0)",0.6284
2013,"(0.866, -0.5)",0.6163
2013,"(0.5, -0.866)",0.5508
2013,"(0.0, -1.0)",0.5058
2013,"(-0.5, -0.866)",0.5663
2013,"(-0.866, -0.5)",0.6146
2013,"(-1.0, -0.0)",0.6006
2013,"(-0.866, 0.5)",0.5927
2013,"(-0.5, 0.866)",0.611
2013,"(-0.0, 1.0)",0.6084
2014,"(0.5, 0.866)",0.5709
2014,"(0.866, 0.5)",0.5379
2014,"(1.0, 0.0)",0.4912
2014,"(0.866, -0.5)",0.5046
2014,"(0.5, -0.866)",0.436
2014,"(0.0, -1.0)",0.3983
