Date,PIORECRUSDM
1/01/1990,14.05
1/02/1990,14.05
1/03/1990,14.05
1/04/1990,14.05
1/05/1990,14.05
1/06/1990,14.05
1/07/1990,14.05
1/08/1990,14.05
1/09/1990,14.05
1/10/1990,14.05
1/11/1990,14.05
1/12/1990,14.05
1/01/1991,15.03
1/02/1991,15.03
1/03/1991,15.03
1/04/1991,15.03
1/05/1991,15.03
1/06/1991,15.03
1/07/1991,15.03
1/08/1991,15.03
1/09/1991,15.03
1/10/1991,15.03
1/11/1991,15.03
1/12/1991,15.03
1/01/1992,14.31
1/02/1992,14.31
1/03/1992,14.31
1/04/1992,14.31
1/05/1992,14.31
1/06/1992,14.31
1/07/1992,14.31
1/08/1992,14.31
1/09/1992,14.31
1/10/1992,14.31
1/11/1992,14.31
1/12/1992,14.31
1/01/1993,12.58
1/02/1993,12.58
1/03/1993,12.58
1/04/1993,12.58
1/05/1993,12.58
1/06/1993,12.58
1/07/1993,12.58
1/08/1993,12.58
1/09/1993,12.58
1/10/1993,12.58
1/11/1993,12.58
1/12/1993,12.58
1/01/1994,11.45
1/02/1994,11.45
1/03/1994,11.45
1/04/1994,11.45
1/05/1994,11.45
1/06/1994,11.45
1/07/1994,11.45
1/08/1994,11.45
1/09/1994,11.45
1/10/1994,11.45
1/11/1994,11.45
1/12/1994,11.45
1/01/1995,12.27
1/02/1995,12.27
1/03/1995,12.27
1/04/1995,12.27
1/05/1995,12.27
1/06/1995,12.27
1/07/1995,12.27
1/08/1995,12.27
1/09/1995,12.27
1/10/1995,12.27
1/11/1995,12.27
1/12/1995,12.27
1/01/1996,12.97
1/02/1996,12.97
1/03/1996,12.97
1/04/1996,12.97
1/05/1996,12.97
1/06/1996,12.97
1/07/1996,12.97
1/08/1996,12.97
1/09/1996,12.97
1/10/1996,12.97
1/11/1996,12.97
1/12/1996,12.97
1/01/1997,13.04
1/02/1997,13.04
1/03/1997,13.04
1/04/1997,13.04
1/05/1997,13.04
1/06/1997,13.04
1/07/1997,13.04
1/08/1997,13.04
1/09/1997,13.04
1/10/1997,13.04
1/11/1997,13.04
1/12/1997,13.04
1/01/1998,13.41
1/02/1998,13.41
1/03/1998,13.41
1/04/1998,13.41
1/05/1998,13.41
1/06/1998,13.41
1/07/1998,13.41
1/08/1998,13.41
1/09/1998,13.41
1/10/1998,13.41
1/11/1998,13.41
1/12/1998,13.41
1/01/1999,11.93
1/02/1999,11.93
1/03/1999,11.93
1/04/1999,11.93
1/05/1999,11.93
1/06/1999,11.93
1/07/1999,11.93
1/08/1999,11.93
1/09/1999,11.93
1/10/1999,11.93
1/11/1999,11.93
1/12/1999,11.93
1/01/2000,12.45
1/02/2000,12.45
1/03/2000,12.45
1/04/2000,12.45
1/05/2000,12.45
1/06/2000,12.45
1/07/2000,12.45
1/08/2000,12.45
1/09/2000,12.45
1/10/2000,12.45
1/11/2000,12.45
1/12/2000,12.45
1/01/2001,12.99
1/02/2001,12.99
1/03/2001,12.99
1/04/2001,12.99
1/05/2001,12.99
1/06/2001,12.99
1/07/2001,12.99
1/08/2001,12.99
1/09/2001,12.99
1/10/2001,12.99
1/11/2001,12.99
1/12/2001,12.99
1/01/2002,12.68
1/02/2002,12.68
1/03/2002,12.68
1/04/2002,12.68
1/05/2002,12.68
1/06/2002,12.68
1/07/2002,12.68
1/08/2002,12.68
1/09/2002,12.68
1/10/2002,12.68
1/11/2002,12.68
1/12/2002,12.68
1/01/2003,13.82
1/02/2003,13.82
1/03/2003,13.82
1/04/2003,13.82
1/05/2003,13.82
1/06/2003,13.82
1/07/2003,13.82
1/08/2003,13.82
1/09/2003,13.82
1/10/2003,13.82
1/11/2003,13.82
1/12/2003,13.82
1/01/2004,16.39
1/02/2004,16.39
1/03/2004,16.39
1/04/2004,16.39
1/05/2004,16.39
1/06/2004,16.39
1/07/2004,16.39
1/08/2004,16.39
1/09/2004,16.39
1/10/2004,16.39
1/11/2004,16.39
1/12/2004,16.39
1/01/2005,28.11
1/02/2005,28.11
1/03/2005,28.11
1/04/2005,28.11
1/05/2005,28.11
1/06/2005,28.11
1/07/2005,28.11
1/08/2005,28.11
1/09/2005,28.11
1/10/2005,28.11
1/11/2005,28.11
1/12/2005,28.11
1/01/2006,33.45
1/02/2006,33.45
1/03/2006,33.45
1/04/2006,33.45
1/05/2006,33.45
1/06/2006,33.45
1/07/2006,33.45
1/08/2006,33.45
1/09/2006,33.45
1/10/2006,33.45
1/11/2006,33.45
1/12/2006,33.45
1/01/2007,36.63
1/02/2007,36.63
1/03/2007,36.63
1/04/2007,36.63
1/05/2007,36.63
1/06/2007,36.63
1/07/2007,36.63
1/08/2007,36.63
1/09/2007,36.63
1/10/2007,36.63
1/11/2007,36.63
1/12/2007,36.63
1/01/2008,60.8
1/02/2008,60.8
1/03/2008,60.8
1/04/2008,60.8
1/05/2008,60.8
1/06/2008,60.8
1/07/2008,60.8
1/08/2008,60.8
1/09/2008,60.8
1/10/2008,60.8
1/11/2008,60.8
1/12/2008,69.9826087
1/01/2009,72.50909091
1/02/2009,75.59
1/03/2009,64.07272727
1/04/2009,59.78181818
1/05/2009,62.69047619
1/06/2009,71.65909091
1/07/2009,83.95217391
1/08/2009,97.66666667
1/09/2009,80.71363636
1/10/2009,86.78636364
1/11/2009,99.25714286
1/12/2009,105.2478261
1/01/2010,125.9142857
1/02/2010,127.615
1/03/2010,139.7695652
1/04/2010,172.4681818
1/05/2010,161.347619
1/06/2010,143.6318182
1/07/2010,126.3636364
1/08/2010,145.3409091
1/09/2010,140.6272727
1/10/2010,148.4809524
1/11/2010,160.55
1/12/2010,168.526087
1/01/2011,179.63
1/02/2011,187.18
1/03/2011,169.3565217
1/04/2011,179.2611111
1/05/2011,177.095
1/06/2011,170.8772727
1/07/2011,172.9761905
1/08/2011,177.45
1/09/2011,177.2272727
1/10/2011,150.4333333
1/11/2011,135.5409091
1/12/2011,136.455
1/01/2012,140.347619
1/02/2012,140.3952381
1/03/2012,144.6636364
1/04/2012,147.6473684
1/05/2012,136.2727273
1/06/2012,134.6210526
1/07/2012,127.9363636
1/08/2012,107.7954545
1/09/2012,99.47
1/10/2012,113.9478261
1/11/2012,120.3454545
1/12/2012,128.8736842
1/01/2013,150.4909091
1/02/2013,154.6388889
1/03/2013,139.87
1/04/2013,137.3909091
1/05/2013,124.0095238
1/06/2013,114.815
1/07/2013,127.1913043
1/08/2013,137.055
1/09/2013,134.1857143
1/10/2013,132.5727273
1/11/2013,136.3238095
1/12/2013,135.7904762
1/01/2014,128.1190476
1/02/2014,121.37
1/03/2014,111.8333333
1/04/2014,114.5809524
1/05/2014,100.56
1/06/2014,92.85238095
1/07/2014,96.26086957
1/08/2014,94.14285714
1/09/2014,84.52272727
1/10/2014,81.30434783
1/11/2014,74.425
1/12/2014,68.67391304
1/01/2015,69.06818182
1/02/2015,63.8
1/03/2015,58.18181818
1/04/2015,52.11363636
1/05/2015,60.42857143
1/06/2015,61.84090909
1/07/2015,52.17391304
1/08/2015,57.33333333
1/09/2015,56.97727273
1/10/2015,53.65909091
1/11/2015,47.19047619
1/12/2015,40.8826087
1/01/2016,42.2047619
1/02/2016,46.48571429
1/03/2016,56.53913043
1/04/2016,60.96666667
1/05/2016,55.88636364
1/06/2016,52.34090909
1/07/2016,57.30952381
1/08/2016,60.86956522
1/09/2016,57.65909091
1/10/2016,58.95238095
1/11/2016,74.13636364
1/12/2016,79.43181818
1/01/2017,80.81818182
1/02/2017,88.95
1/03/2017,87.19565217
1/04/2017,70.4
1/05/2017,61.63043478
1/06/2017,57.86363636
1/07/2017,66.73809524
1/08/2017,74.58695652
1/09/2017,69.23809524
1/10/2017,61.04545455
1/11/2017,63.40909091
1/12/2017,71.73809524
1/01/2018,75.7826087
1/02/2018,77.65
1/03/2018,71.31818182
1/04/2018,66.33333333
1/05/2018,66.63043478
1/06/2018,66.85714286
1/07/2018,67.04545455
1/08/2018,68.02173913
1/09/2018,68.8
1/10/2018,72.02173913
1/11/2018,72.29545455
1/12/2018,68.9047619
1/01/2019,75.2
1/02/2019,87.59
1/03/2019,87.07142857
1/04/2019,94.5
1/05/2019,101.7608696
1/06/2019,109.55
1/07/2019,119.5869565
1/08/2019,93.5
1/09/2019,92.26190476
1/10/2019,88.58695652
1/11/2019,82.9047619
1/12/2019,90.97727273
1/01/2020,95.2173913
1/02/2020,87.625
1/03/2020,88.65909091
1/04/2020,83.75
1/05/2020,91.33333333
1/06/2020,103.3409091
1/07/2020,108.0217391
1/08/2020,120.0714286
1/09/2020,123
1/10/2020,119.25
1/11/2020,123.5238095
1/12/2020,153.0652174
1/01/2021,166.7380952
1/02/2021,162.325
1/03/2021,166.7391304
1/04/2021,178.25
1/05/2021,202.8571429
1/06/2021,215.8157895
1/07/2021,214.3409091
1/08/2021,162.0909091
1/09/2021,113.71875
1/10/2021,114.4761905
1/11/2021,90.13157895
1/12/2021,110.4565217
1/01/2022,133.0454545
